event-id,visible,timestamp,location-long,location-lat,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name,utm-easting,utm-northing,utm-zone,study-timezone,study-local-timestamp
7980499272,TRUE,15:00.0,16.20208842,-19.06372477,gps,Loxodonta africana,AG005,LA1,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),626478.7854,7891688.119,33S,Central African Summer Time,15:00.0
7980499273,TRUE,46:00.0,16.20949605,-19.06990763,gps,Loxodonta africana,AG005,LA1,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),627253.5579,7890998.515,33S,Central African Summer Time,46:00.0
7980499274,TRUE,31:00.0,16.21418355,-19.06871948,gps,Loxodonta africana,AG005,LA1,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),627747.7082,7891126.596,33S,Central African Summer Time,31:00.0
7980499275,TRUE,45:00.0,16.21417033,-19.06868286,gps,Loxodonta africana,AG005,LA1,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),627746.3452,7891130.659,33S,Central African Summer Time,45:00.0
7980499276,TRUE,31:00.0,16.22937215,-19.05825806,gps,Loxodonta africana,AG005,LA1,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),629354.052,7892273.212,33S,Central African Summer Time,31:00.0
7980499277,TRUE,46:00.0,16.26182556,-19.08668823,gps,Loxodonta africana,AG005,LA1,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),632746.5727,7889102.601,33S,Central African Summer Time,46:00.0
7980499278,TRUE,40:00.0,16.26562297,-19.08734741,gps,Loxodonta africana,AG005,LA1,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),633145.5921,7889026.767,33S,Central African Summer Time,40:00.0
7980499279,TRUE,00:00.0,16.26624247,-19.08740234,gps,Loxodonta africana,AG005,LA1,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),633210.729,7889020.217,33S,Central African Summer Time,00:00.0
7980499280,TRUE,40:00.0,16.27277527,-19.08728841,gps,Loxodonta africana,AG005,LA1,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),633898.1709,7889027.845,33S,Central African Summer Time,40:00.0
7980499281,TRUE,01:00.0,16.27454936,-19.08837687,gps,Loxodonta africana,AG005,LA1,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),634083.9561,7888906.027,33S,Central African Summer Time,01:00.0
